test;msisdn_H;msisdn;coupure;nb_hour_total_coupure;echec;paging_without_response_nb;nb_hour_paging_without_response;nb_hour_echec;nb_call_est;reiter_call_interval_nb;nb_hour_reiter_call;call_est_bad_setupduration_nb;nb_hour_call_est_bad_setupduration
3;145;20221004;0;0;0;0;0;0;0;0;0;0;0
3;146;20221004;1;1;1;0;0;0;1;1;1;0;0
3;147;20221004;0;0;0;0;0;0;0;0;0;0;0
3;148;20221004;0;0;0;0;0;0;0;0;0;0;0
3;149;20221004;0;0;0;0;0;0;0;0;0;0;0
3;150;20221004;0;0;0;0;0;0;0;1;1;0;0
3;151;20221004;0;0;0;0;0;0;0;0;0;0;0
3;152;20221004;0;0;0;1;1;0;0;0;0;0;0
3;153;20221004;0;0;0;0;0;0;0;0;0;0;0
3;154;20221004;0;0;0;0;0;0;0;0;0;0;0
3;155;20221004;1;0;1;6;5;0;2;4;3;0;0
3;156;20221004;3;3;2;6;4;2;0;0;0;0;0
3;157;20221004;0;0;0;0;0;0;0;1;1;0;0
3;158;20221004;0;0;0;0;0;0;0;0;0;0;0
3;159;20221004;21;9;14;7;3;6;12;1;1;0;0
3;160;20221004;0;0;0;0;0;0;0;0;0;0;0
3;161;20221004;0;0;0;0;0;0;0;0;0;0;0
3;162;20221004;13;4;9;0;0;3;18;0;0;2;2
3;163;20221004;0;0;0;0;0;0;0;1;1;0;0
3;164;20221004;1;1;1;0;0;1;3;0;0;0;0
3;165;20221004;5;3;3;3;3;2;7;1;1;0;0
3;166;20221004;0;0;0;0;0;0;0;0;0;0;0
3;167;20221004;0;0;0;0;0;0;0;0;0;0;0
3;168;20221004;0;0;0;0;0;0;0;1;1;0;0
3;169;20221004;0;0;0;0;0;0;0;4;3;0;0
3;170;20221004;0;0;0;0;0;0;0;5;5;0;0
3;171;20221004;3;0;2;0;0;0;0;4;2;0;0
3;172;20221004;0;0;0;0;0;0;0;1;1;0;0
3;173;20221004;7;3;5;2;2;2;9;1;1;0;0
3;174;20221004;3;3;2;0;0;2;1;1;1;0;0
3;175;20221004;1;1;0;1;1;0;1;0;0;0;0
3;176;20221004;0;0;0;0;0;0;0;0;0;0;0
3;177;20221004;0;0;0;0;0;0;0;1;1;0;0
3;178;20221004;0;0;0;0;0;0;0;0;0;0;0
3;179;20221004;0;0;0;0;0;0;0;1;1;0;0
3;180;20221004;0;0;0;0;0;0;0;0;0;0;0
3;181;20221004;0;0;0;0;0;0;0;0;0;0;0
3;182;20221004;4;2;2;6;3;1;0;0;0;0;0
3;183;20221004;0;0;0;0;0;0;0;0;0;0;0
3;184;20221004;0;0;0;0;0;0;0;1;1;0;0
3;185;20221004;0;0;0;0;0;0;0;0;0;0;0
3;186;20221004;0;0;0;0;0;0;0;0;0;0;0
3;187;20221004;6;1;4;16;2;1;0;2;1;0;0
3;188;20221004;0;0;0;0;0;0;0;0;0;0;0
3;189;20221004;0;0;0;4;2;0;0;0;0;0;0
3;190;20221004;4;1;3;0;0;0;3;1;1;0;0
3;191;20221004;0;0;0;0;0;0;0;0;0;0;0
3;192;20221004;0;0;0;0;0;0;0;0;0;0;0
3;193;20221004;0;0;0;0;0;0;0;0;0;0;0
3;194;20221004;0;0;0;0;0;0;0;0;0;0;0
3;195;20221004;1;1;1;0;0;0;1;1;1;0;0
3;196;20221004;0;0;0;0;0;0;0;0;0;0;0
3;197;20221004;0;0;0;0;0;0;0;0;0;0;0
3;198;20221004;0;0;0;0;0;0;0;0;0;0;0
3;199;20221004;0;0;0;0;0;0;0;0;0;0;0
3;200;20221004;6;1;4;0;0;0;0;0;0;0;0
3;201;20221004;4;1;2;4;4;1;0;0;0;0;0
3;202;20221004;27;7;18;4;3;4;30;3;3;1;1
3;203;20221004;34;6;22;0;0;4;40;0;0;4;3
3;204;20221004;0;0;0;0;0;0;0;0;0;0;0
3;205;20221004;4;3;3;2;2;2;3;0;0;1;1
3;206;20221004;0;0;0;0;0;0;0;0;0;0;0
3;207;20221004;0;0;0;0;0;0;1;2;2;1;1
3;208;20221004;13;4;9;0;0;2;10;2;2;0;0
3;209;20221004;6;3;4;3;2;2;10;0;0;2;1
3;210;20221004;41;6;27;4;3;4;44;5;5;7;3
3;211;20221004;0;0;0;0;0;0;0;2;1;0;0
3;212;20221004;16;4;10;1;1;3;22;0;0;5;3
3;213;20221004;14;6;9;2;2;4;16;0;0;1;1
3;214;20221004;6;2;4;0;0;1;9;0;0;6;3
3;215;20221004;24;6;16;1;1;4;8;2;2;4;4
3;216;20221004;0;0;0;0;0;0;0;0;0;0;0
3;217;20221004;20;5;13;14;6;3;27;0;0;5;3
3;218;20221004;0;0;0;0;0;0;0;0;0;0;0
3;219;20221004;1;1;1;0;0;0;3;3;2;0;0
3;220;20221004;4;1;3;0;0;1;8;0;0;2;2
3;221;20221004;0;0;0;1;1;0;1;0;0;0;0
3;222;20221004;0;0;0;0;0;0;0;0;0;0;0
3;223;20221004;15;5;10;0;0;3;12;2;1;0;0
3;224;20221004;0;0;0;0;0;0;0;0;0;0;0
3;225;20221004;4;2;3;0;0;1;5;0;0;2;1
3;226;20221004;0;0;0;0;0;0;0;0;0;0;0
3;227;20221004;3;2;2;0;0;1;0;0;0;0;0
3;228;20221004;0;0;0;1;1;0;0;0;0;0;0
3;229;20221004;19;3;12;1;1;2;22;0;0;1;1
3;230;20221004;0;0;0;0;0;0;0;1;1;0;0
3;231;20221004;12;5;8;2;2;3;13;0;0;1;1
3;232;20221004;9;4;6;0;0;2;13;0;0;1;1
3;233;20221004;2;1;1;1;1;1;3;1;1;0;0
3;234;20221004;0;0;0;0;0;0;0;0;0;0;0
3;235;20221004;0;0;0;1;1;0;0;0;0;0;0
3;236;20221004;0;0;0;0;0;0;0;0;0;0;0
3;237;20221004;0;0;0;0;0;0;0;2;1;0;0
3;238;20221004;0;0;0;0;0;0;0;4;1;0;0
3;239;20221004;0;0;0;0;0;0;0;0;0;0;0
3;240;20221004;0;0;0;0;0;0;0;0;0;0;0
3;241;20221004;0;0;0;0;0;0;0;1;1;0;0
3;242;20221004;0;0;0;0;0;0;0;0;0;0;0
3;243;20221004;0;0;0;0;0;0;0;0;0;0;0
3;244;20221004;0;0;0;0;0;0;0;0;0;0;0
3;245;20221004;0;0;0;0;0;0;0;0;0;0;0
3;246;20221004;0;0;0;0;0;0;0;4;2;0;0
3;247;20221004;0;0;0;0;0;0;0;1;1;0;0
3;248;20221004;0;0;0;0;0;0;0;1;1;0;0
3;249;20221004;0;0;0;1;1;0;0;1;1;0;0
3;250;20221004;4;3;2;0;0;2;0;0;0;0;0
3;251;20221004;0;0;0;0;0;0;0;3;2;0;0
3;252;20221004;0;0;0;1;1;0;0;0;0;0;0
3;253;20221004;0;0;0;0;0;0;0;2;1;0;0
3;254;20221004;14;6;9;0;0;4;20;0;0;1;1
3;255;20221004;0;0;0;0;0;0;0;3;3;0;0
3;256;20221004;27;4;18;2;2;3;33;2;2;4;2
3;257;20221004;0;0;0;0;0;0;0;0;0;0;0
3;258;20221004;13;4;9;1;1;2;18;2;2;1;1
3;259;20221004;0;0;0;0;0;0;0;0;0;0;0
3;260;20221004;0;0;0;0;0;0;0;0;0;0;0
3;261;20221004;0;0;0;0;0;0;0;0;0;0;0
3;262;20221004;0;0;0;0;0;0;0;0;0;0;0
3;263;20221004;2;1;1;4;2;1;0;0;0;0;0
3;264;20221004;0;0;0;0;0;0;0;1;1;0;0
3;265;20221004;0;0;0;5;1;0;0;0;0;0;0
3;266;20221004;9;3;6;5;3;2;5;0;0;0;0
3;267;20221004;0;0;0;0;0;0;0;0;0;0;0
3;268;20221004;3;0;2;2;1;0;6;0;0;1;1
3;269;20221004;0;0;0;0;0;0;0;0;0;0;0
3;270;20221004;9;3;6;0;0;2;0;0;0;0;0
3;271;20221004;0;0;0;0;0;0;0;0;0;0;0
3;272;20221004;0;0;0;0;0;0;0;0;0;0;0
3;273;20221004;0;0;0;0;0;0;0;2;2;0;0
3;274;20221004;0;0;0;0;0;0;0;0;0;0;0
3;275;20221004;0;0;0;0;0;0;0;1;1;0;0
3;276;20221004;0;0;0;0;0;0;0;0;0;0;0
3;277;20221004;3;0;2;0;0;0;3;3;1;1;1
3;278;20221004;0;0;0;0;0;0;1;1;1;0;0
3;279;20221004;2;1;1;0;0;0;0;1;1;0;0
3;280;20221004;1;1;1;0;0;0;2;2;2;0;0
3;281;20221004;0;0;0;0;0;0;0;0;0;0;0
3;282;20221004;0;0;0;0;0;0;0;0;0;0;0
3;283;20221004;0;0;0;0;0;0;0;0;0;0;0
3;284;20221004;8;3;5;2;2;2;12;1;1;2;1
3;285;20221004;14;3;9;2;1;2;23;1;1;1;1
3;286;20221004;0;0;0;0;0;0;0;0;0;0;0
3;287;20221004;17;3;11;17;7;2;24;0;0;5;2
3;288;20221004;0;0;0;0;0;0;0;2;2;0;0
3;289;20221004;57;9;38;12;6;6;57;7;3;5;3
3;290;20221004;30;7;20;0;0;4;39;3;2;7;4
3;291;20221004;0;0;0;0;0;0;0;3;3;0;0
3;292;20221004;0;0;0;0;0;0;0;0;0;0;0
3;293;20221004;3;1;2;0;0;1;2;2;1;0;0
3;294;20221004;4;2;3;0;0;1;7;1;1;0;0
3;295;20221004;0;0;0;0;0;0;0;2;2;0;0
3;296;20221004;26;3;17;0;0;2;34;3;2;8;3
3;297;20221004;0;0;0;0;0;0;0;0;0;0;0
3;298;20221004;0;0;0;0;0;0;0;0;0;0;0
3;299;20221004;0;0;0;0;0;0;0;0;0;0;0
3;300;20221004;6;3;4;0;0;2;5;6;4;0;0
3;301;20221004;18;6;12;0;0;4;23;1;1;0;0
3;302;20221004;0;0;0;0;0;0;0;1;1;0;0
3;303;20221004;0;0;0;0;0;0;0;8;6;0;0
3;304;20221004;6;4;4;0;0;2;0;1;1;0;0
3;305;20221004;0;0;0;0;0;0;0;0;0;0;0
3;306;20221004;0;0;0;0;0;0;0;8;3;0;0
3;307;20221004;1;1;0;0;0;0;2;0;0;0;0
3;308;20221004;2;2;1;0;0;1;0;0;0;0;0
3;309;20221004;0;0;0;0;0;0;0;1;1;0;0
3;310;20221004;0;0;0;0;0;0;0;0;0;0;0
3;311;20221004;1;1;1;1;1;0;0;0;0;0;0
3;312;20221004;0;0;0;0;0;0;0;0;0;0;0
3;313;20221004;0;0;0;0;0;0;0;1;1;0;0
3;314;20221004;3;1;2;0;0;1;1;1;1;0;0
3;315;20221004;1;0;0;0;0;0;2;0;0;1;1
3;316;20221004;0;0;0;0;0;0;0;0;0;0;0
3;317;20221004;0;0;0;0;0;0;0;0;0;0;0
3;318;20221004;0;0;0;0;0;0;0;1;1;0;0
3;319;20221004;0;0;0;0;0;0;0;0;0;0;0
3;320;20221004;0;0;0;0;0;0;1;0;0;1;1
3;321;20221004;0;0;0;0;0;0;0;0;0;0;0
3;322;20221004;0;0;0;0;0;0;0;0;0;0;0
3;323;20221004;0;0;0;0;0;0;0;0;0;0;0
3;324;20221004;0;0;0;0;0;0;0;0;0;0;0
3;325;20221004;60;5;40;12;6;3;89;10;2;16;8
3;326;20221004;3;2;2;4;2;1;3;0;0;0;0
3;327;20221004;6;3;4;3;2;2;4;3;2;0;0
3;328;20221004;1;0;1;0;0;0;2;0;0;0;0
3;329;20221004;0;0;0;0;0;0;0;0;0;0;0
3;330;20221004;1;1;1;0;0;1;0;0;0;0;0
3;331;20221004;0;0;0;0;0;0;0;0;0;0;0
3;332;20221004;0;0;0;0;0;0;0;1;1;0;0
3;333;20221004;5;3;3;3;3;2;6;2;2;0;0
3;334;20221004;0;0;0;7;4;0;0;0;0;0;0
3;335;20221004;1;0;0;0;0;0;2;1;1;1;1
3;336;20221004;0;0;0;0;0;0;0;2;2;0;0
3;337;20221004;0;0;0;4;1;0;0;0;0;0;0
3;338;20221004;0;0;0;0;0;0;0;0;0;0;0
3;339;20221004;0;0;0;0;0;0;0;1;1;0;0
3;340;20221004;0;0;0;0;0;0;0;0;0;0;0
3;341;20221004;0;0;0;0;0;0;0;0;0;0;0
3;342;20221004;0;0;0;4;2;0;0;0;0;0;0
3;343;20221004;1;1;0;0;0;0;0;0;0;0;0
3;344;20221004;0;0;0;0;0;0;0;0;0;0;0
3;345;20221004;0;0;0;0;0;0;0;1;1;0;0
3;346;20221004;18;5;12;1;1;3;17;1;1;0;0
3;347;20221004;0;0;0;0;0;0;0;2;1;0;0
3;348;20221004;0;0;0;0;0;0;0;0;0;0;0
3;349;20221004;0;0;0;0;0;0;0;0;0;0;0
3;350;20221004;0;0;0;0;0;0;0;3;2;0;0
3;351;20221004;0;0;0;0;0;0;0;2;2;0;0
3;352;20221004;1;1;0;0;0;0;4;0;0;0;0
3;353;20221004;0;0;0;0;0;0;0;0;0;0;0
3;354;20221004;4;2;2;1;1;1;1;0;0;0;0
3;355;20221004;0;0;0;1;1;0;0;0;0;0;0
3;356;20221004;1;1;0;0;0;0;0;0;0;0;0
3;357;20221004;0;0;0;0;0;0;0;0;0;0;0
3;358;20221004;1;1;1;0;0;0;0;0;0;0;0
3;359;20221004;3;1;2;0;0;1;0;0;0;0;0
3;360;20221004;1;1;1;0;0;0;0;0;0;0;0
3;361;20221004;13;6;9;2;1;4;0;0;0;0;0
3;362;20221004;3;1;2;3;2;1;4;0;0;0;0
3;363;20221004;6;2;4;0;0;1;8;0;0;0;0
3;364;20221004;0;0;0;0;0;0;0;0;0;0;0
3;365;20221004;1;1;1;5;1;0;0;0;0;0;0
3;366;20221004;0;0;0;0;0;0;0;0;0;0;0
3;367;20221004;3;3;2;0;0;2;1;0;0;0;0
3;368;20221004;12;4;8;3;1;2;16;0;0;4;3
3;369;20221004;0;0;0;0;0;0;0;0;0;0;0
3;370;20221004;0;0;0;0;0;0;0;0;0;0;0
3;371;20221004;0;0;0;4;1;0;0;0;0;0;0
3;372;20221004;0;0;0;0;0;0;0;2;2;0;0
3;373;20221004;0;0;0;0;0;0;0;0;0;0;0
3;374;20221004;9;1;6;0;0;0;12;0;0;0;0
3;375;20221004;0;0;0;0;0;0;0;0;0;0;0
3;376;20221004;0;0;0;0;0;0;0;1;1;0;0
3;377;20221004;0;0;0;0;0;0;0;0;0;0;0
3;378;20221004;0;0;0;0;0;0;0;0;0;0;0
3;379;20221004;9;3;6;1;1;2;11;0;0;0;0
3;380;20221004;0;0;0;2;2;0;0;0;0;0;0
3;381;20221004;0;0;0;0;0;0;0;0;0;0;0
3;382;20221004;16;6;11;1;1;4;15;2;2;1;1
3;383;20221004;0;0;0;0;0;0;0;0;0;0;0
3;384;20221004;0;0;0;0;0;0;0;1;1;0;0
3;385;20221004;1;1;1;0;0;1;1;1;1;0;0
3;386;20221004;0;0;0;0;0;0;0;0;0;0;0
3;387;20221004;0;0;0;0;0;0;0;0;0;0;0
3;388;20221004;1;1;1;0;0;0;3;0;0;2;1
3;389;20221004;0;0;0;0;0;0;0;0;0;0;0
3;390;20221004;4;1;2;0;0;0;4;19;5;0;0
3;391;20221004;0;0;0;0;0;0;0;0;0;0;0
3;392;20221004;0;0;0;0;0;0;0;1;1;0;0
3;393;20221004;0;0;0;1;1;0;0;0;0;0;0
3;394;20221004;0;0;0;0;0;0;0;0;0;0;0
3;395;20221004;0;0;0;0;0;0;0;0;0;0;0
3;396;20221004;1;1;0;0;0;0;0;0;0;0;0
3;397;20221004;1;1;0;0;0;0;0;0;0;0;0
3;398;20221004;0;0;0;0;0;0;0;0;0;0;0
3;399;20221004;0;0;0;0;0;0;0;0;0;0;0
3;400;20221004;0;0;0;0;0;0;0;0;0;0;0
3;401;20221004;0;0;0;0;0;0;0;0;0;0;0
3;402;20221004;15;2;10;4;3;1;22;0;0;0;0
3;403;20221004;0;0;0;3;1;0;0;0;0;0;0
3;404;20221004;0;0;0;0;0;0;0;0;0;0;0
3;405;20221004;0;0;0;0;0;0;0;0;0;0;0
3;406;20221004;1;1;1;0;0;1;1;0;0;0;0
3;407;20221004;4;2;2;2;1;1;0;2;1;0;0
3;408;20221004;0;0;0;0;0;0;0;2;2;0;0
3;409;20221004;21;5;14;4;2;3;21;3;2;2;2
3;410;20221004;0;0;0;0;0;0;0;0;0;0;0
3;411;20221004;58;8;38;1;1;5;73;6;4;7;4
3;412;20221004;6;3;4;0;0;2;9;0;0;0;0
3;413;20221004;9;6;6;0;0;4;8;0;0;0;0
3;414;20221004;0;0;0;0;0;0;0;0;0;0;0
3;415;20221004;12;4;8;2;2;3;12;0;0;2;2
3;416;20221004;0;0;0;0;0;0;0;0;0;0;0
3;417;20221004;12;6;8;8;3;4;9;2;2;2;1
3;418;20221004;0;0;0;0;0;0;0;0;0;0;0
3;419;20221004;1;1;0;1;1;0;0;0;0;0;0
3;420;20221004;19;3;13;4;2;2;21;0;0;7;3
3;421;20221004;0;0;0;0;0;0;0;0;0;0;0
3;422;20221004;0;0;0;0;0;0;0;2;1;0;0
3;423;20221004;3;1;2;23;4;0;4;3;3;4;2
3;424;20221004;4;2;2;0;0;1;6;11;4;0;0
3;425;20221004;0;0;0;0;0;0;0;0;0;0;0
3;426;20221004;15;6;10;7;4;4;13;1;1;2;2
3;427;20221004;2;1;1;0;0;1;0;1;1;0;0
3;428;20221004;0;0;0;0;0;0;0;0;0;0;0
3;429;20221004;0;0;0;0;0;0;0;2;2;0;0
3;430;20221004;0;0;0;0;0;0;0;0;0;0;0
3;431;20221004;0;0;0;0;0;0;1;0;0;0;0
3;432;20221004;16;5;10;7;2;3;21;1;1;4;2
3;433;20221004;0;0;0;0;0;0;0;0;0;0;0
3;434;20221004;0;0;0;0;0;0;0;0;0;0;0
3;435;20221004;3;1;2;0;0;1;0;0;0;0;0
3;436;20221004;0;0;0;0;0;0;0;1;1;0;0
3;437;20221004;0;0;0;0;0;0;0;0;0;0;0
3;438;20221004;0;0;0;0;0;0;0;2;1;0;0
3;439;20221004;0;0;0;1;1;0;0;0;0;0;0
3;440;20221004;15;6;10;6;4;4;13;0;0;1;1
3;441;20221004;2;1;1;0;0;0;0;3;2;0;0
3;442;20221004;1;0;0;0;0;0;0;1;1;0;0
3;443;20221004;0;0;0;0;0;0;0;0;0;0;0
3;444;20221004;0;0;0;0;0;0;0;0;0;0;0
3;445;20221004;3;1;2;0;0;0;3;3;1;0;0
3;446;20221004;0;0;0;4;1;0;0;0;0;0;0
3;447;20221004;1;1;0;2;1;0;2;0;0;1;1
3;448;20221004;0;0;0;0;0;0;0;5;5;0;0
3;449;20221004;0;0;0;0;0;0;0;0;0;0;0
3;450;20221004;12;4;8;1;1;2;19;0;0;0;0
3;451;20221004;0;0;0;0;0;0;0;0;0;0;0
3;452;20221004;42;7;28;12;6;5;49;4;3;5;3
3;453;20221004;7;3;5;0;0;2;3;0;0;0;0
3;454;20221004;0;0;0;0;0;0;0;1;1;0;0
3;455;20221004;0;0;0;0;0;0;0;2;2;0;0
3;456;20221004;1;1;1;4;2;1;0;1;1;0;0
3;457;20221004;0;0;0;0;0;0;0;0;0;0;0
3;458;20221004;0;0;0;0;0;0;0;3;3;0;0
