qoe_challenge_table_for_model_v2.imsi;qoe_challenge_table_for_model_v2.year;qoe_challenge_table_for_model_v2.month;qoe_challenge_table_for_model_v2.msisdn;qoe_challenge_table_for_model_v2.coupure_appel_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_coupure_appel_daily;qoe_challenge_table_for_model_v2.echec_appel_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_echec_appel_daily;qoe_challenge_table_for_model_v2.paging_without_response_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_paging_without_response_daily;qoe_challenge_table_for_model_v2.nb_call_est_daily;qoe_challenge_table_for_model_v2.reiter_call_interval_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_reiter_call_daily;qoe_challenge_table_for_model_v2.call_est_bad_setupduration_nb_daily;qoe_challenge_table_for_model_v2.nb_hour_call_est_bad_setupduration_daily;test;msisdn_H
6,08015E+14;2022;10;20221004;12;6;8;4;0;0;12;0;0;3;3;3;46
6,08015E+14;2022;10;20221004;0;0;0;0;2;2;1;0;0;0;0;3;47
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;48
6,08015E+14;2022;10;20221004;4;3;3;2;0;0;5;5;3;0;0;3;49
6,08015E+14;2022;10;20221004;9;4;6;3;0;0;5;1;1;0;0;3;50
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;51
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;52
6,08015E+14;2022;10;20221004;3;1;2;0;1;1;0;0;0;0;0;3;53
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;54
6,08015E+14;2022;10;20221004;2;1;1;0;3;2;0;0;0;0;0;3;55
6,08015E+14;2022;10;20221004;2;1;1;0;4;3;3;1;1;1;1;3;56
6,08015E+14;2022;10;20221004;7;3;5;2;2;2;13;2;2;1;1;3;57
6,08015E+14;2022;10;20221004;3;1;2;0;0;0;3;2;1;0;0;3;58
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;59
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;60
6,08015E+14;2022;10;20221004;10;4;6;2;0;0;7;0;0;1;1;3;61
6,08015E+14;2022;10;20221004;11;4;7;2;1;1;9;1;1;1;1;3;62
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;63
6,08015E+14;2022;10;20221004;16;4;11;2;12;5;16;0;0;5;2;3;64
6,08015E+14;2022;10;20221004;4;2;3;1;3;3;5;0;0;0;0;3;65
6,08015E+14;2022;10;20221004;3;1;2;0;2;2;4;0;0;1;1;3;66
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;67
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;68
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;69
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;1;1;1;0;0;3;70
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;71
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;1;0;0;3;72
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;73
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;74
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;75
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;76
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;1;0;0;3;77
6,08015E+14;2022;10;20221004;1;0;1;0;0;0;0;0;0;0;0;3;78
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;2;0;0;3;79
6,08015E+14;2022;10;20221004;1;1;1;1;2;2;1;1;1;0;0;3;80
6,08015E+14;2022;10;20221004;1;1;1;0;0;0;0;1;1;0;0;3;81
6,08018E+14;2022;10;20221004;17;4;11;3;1;1;20;0;0;4;2;3;82
6,08015E+14;2022;10;20221004;15;5;10;3;2;2;17;0;0;0;0;3;83
6,08015E+14;2022;10;20221004;105;7;70;4;3;2;55;3;2;2;1;3;84
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;85
6,08015E+14;2022;10;20221004;6;3;4;2;0;0;9;0;0;4;2;3;86
6,08015E+14;2022;10;20221004;17;4;11;3;1;1;22;3;2;5;3;3;87
6,08015E+14;2022;10;20221004;12;1;8;1;0;0;19;4;1;2;2;3;88
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;89
6,08015E+14;2022;10;20221004;21;4;14;2;4;4;30;0;0;15;5;3;90
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;91
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;92
6,08015E+14;2022;10;20221004;1;1;1;0;5;2;0;0;0;0;0;3;93
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;94
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;95
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;96
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;97
6,08015E+14;2022;10;20221004;0;0;0;0;3;1;0;0;0;0;0;3;98
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;3;1;0;0;3;99
6,08015E+14;2022;10;20221004;10;3;7;2;1;1;10;3;2;0;0;3;100
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;101
6,08015E+14;2022;10;20221004;4;2;3;1;0;0;7;0;0;0;0;3;102
6,08015E+14;2022;10;20221004;1;1;0;0;2;1;0;0;0;0;0;3;103
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;104
6,08017E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;105
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;106
6,08015E+14;2022;10;20221004;8;2;5;1;2;2;7;1;1;1;1;3;107
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;3;1;0;0;3;108
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;109
6,08015E+14;2022;10;20221004;1;1;0;0;0;0;0;0;0;0;0;3;110
6,08015E+14;2022;10;20221004;16;3;10;2;0;0;16;15;5;0;0;3;111
6,08015E+14;2022;10;20221004;20;4;13;3;2;1;22;3;2;2;2;3;112
6,08015E+14;2022;10;20221004;69;7;46;5;1;1;89;5;4;10;3;3;113
6,08015E+14;2022;10;20221004;0;0;0;0;2;1;0;0;0;0;0;3;114
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;115
6,08015E+14;2022;10;20221004;2;1;1;0;0;0;4;0;0;2;2;3;116
6,08015E+14;2022;10;20221004;22;6;15;4;12;5;22;2;2;0;0;3;117
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;118
6,08015E+14;2022;10;20221004;19;4;13;2;0;0;37;0;0;11;4;3;119
6,08015E+14;2022;10;20221004;51;7;34;5;0;0;66;4;4;11;5;3;120
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;121
6,08015E+14;2022;10;20221004;17;4;11;3;1;1;16;1;1;0;0;3;122
6,08015E+14;2022;10;20221004;6;0;4;0;16;4;6;1;1;3;1;3;123
6,08015E+14;2022;10;20221004;1;1;0;0;2;1;0;0;0;0;0;3;124
6,08015E+14;2022;10;20221004;5;3;3;2;0;0;4;1;1;0;0;3;125
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;126
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;2;0;0;3;127
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;128
6,08015E+14;2022;10;20221004;1;0;0;0;0;0;1;0;0;0;0;3;129
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;1;0;0;3;130
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;131
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;132
6,08015E+14;2022;10;20221004;1;1;1;1;1;1;0;0;0;0;0;3;133
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;134
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;135
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;136
6,08015E+14;2022;10;20221004;2;1;1;1;0;0;0;0;0;0;0;3;137
6,08015E+14;2022;10;20221004;7;3;4;2;0;0;10;0;0;0;0;3;138
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;139
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;140
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;141
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;142
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;143
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;144
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;145
6,08015E+14;2022;10;20221004;1;1;1;0;0;0;1;1;1;0;0;3;146
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;147
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;148
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;149
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;150
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;151
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;152
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;153
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;154
6,08015E+14;2022;10;20221004;1;0;1;0;6;5;2;4;3;0;0;3;155
6,08015E+14;2022;10;20221004;3;3;2;2;6;4;0;0;0;0;0;3;156
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;157
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;158
6,08015E+14;2022;10;20221004;21;9;14;6;7;3;12;1;1;0;0;3;159
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;160
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;161
6,08015E+14;2022;10;20221004;13;4;9;3;0;0;18;0;0;2;2;3;162
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;163
6,08015E+14;2022;10;20221004;1;1;1;1;0;0;3;0;0;0;0;3;164
6,08015E+14;2022;10;20221004;5;3;3;2;3;3;7;1;1;0;0;3;165
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;166
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;167
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;168
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;4;3;0;0;3;169
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;5;5;0;0;3;170
6,08015E+14;2022;10;20221004;3;0;2;0;0;0;0;4;2;0;0;3;171
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;172
6,08015E+14;2022;10;20221004;7;3;5;2;2;2;9;1;1;0;0;3;173
6,08015E+14;2022;10;20221004;3;3;2;2;0;0;1;1;1;0;0;3;174
6,08015E+14;2022;10;20221004;1;1;0;0;1;1;1;0;0;0;0;3;175
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;176
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;177
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;178
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;179
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;180
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;181
6,08015E+14;2022;10;20221004;4;2;2;1;6;3;0;0;0;0;0;3;182
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;183
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;184
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;185
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;186
6,08015E+14;2022;10;20221004;6;1;4;1;16;2;0;2;1;0;0;3;187
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;188
6,08015E+14;2022;10;20221004;0;0;0;0;4;2;0;0;0;0;0;3;189
6,08015E+14;2022;10;20221004;4;1;3;0;0;0;3;1;1;0;0;3;190
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;191
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;192
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;193
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;194
6,08015E+14;2022;10;20221004;1;1;1;0;0;0;1;1;1;0;0;3;195
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;196
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;197
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;198
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;199
6,08015E+14;2022;10;20221004;6;1;4;0;0;0;0;0;0;0;0;3;200
6,08015E+14;2022;10;20221004;4;1;2;1;4;4;0;0;0;0;0;3;201
6,08015E+14;2022;10;20221004;27;7;18;4;4;3;30;3;3;1;1;3;202
6,08015E+14;2022;10;20221004;34;6;22;4;0;0;40;0;0;4;3;3;203
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;204
6,08015E+14;2022;10;20221004;4;3;3;2;2;2;3;0;0;1;1;3;205
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;206
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;1;2;2;1;1;3;207
6,08015E+14;2022;10;20221004;13;4;9;2;0;0;10;2;2;0;0;3;208
6,08015E+14;2022;10;20221004;6;3;4;2;3;2;10;0;0;2;1;3;209
6,08015E+14;2022;10;20221004;41;6;27;4;4;3;44;5;5;7;3;3;210
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;1;0;0;3;211
6,08015E+14;2022;10;20221004;16;4;10;3;1;1;22;0;0;5;3;3;212
6,08015E+14;2022;10;20221004;14;6;9;4;2;2;16;0;0;1;1;3;213
6,08015E+14;2022;10;20221004;6;2;4;1;0;0;9;0;0;6;3;3;214
6,08015E+14;2022;10;20221004;24;6;16;4;1;1;8;2;2;4;4;3;215
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;216
6,08015E+14;2022;10;20221004;20;5;13;3;14;6;27;0;0;5;3;3;217
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;218
6,08015E+14;2022;10;20221004;1;1;1;0;0;0;3;3;2;0;0;3;219
6,08015E+14;2022;10;20221004;4;1;3;1;0;0;8;0;0;2;2;3;220
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;1;0;0;0;0;3;221
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;222
6,08015E+14;2022;10;20221004;15;5;10;3;0;0;12;2;1;0;0;3;223
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;224
6,08015E+14;2022;10;20221004;4;2;3;1;0;0;5;0;0;2;1;3;225
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;226
6,08015E+14;2022;10;20221004;3;2;2;1;0;0;0;0;0;0;0;3;227
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;228
6,08015E+14;2022;10;20221004;19;3;12;2;1;1;22;0;0;1;1;3;229
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;230
6,08015E+14;2022;10;20221004;12;5;8;3;2;2;13;0;0;1;1;3;231
6,08015E+14;2022;10;20221004;9;4;6;2;0;0;13;0;0;1;1;3;232
6,08015E+14;2022;10;20221004;2;1;1;1;1;1;3;1;1;0;0;3;233
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;234
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;235
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;236
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;1;0;0;3;237
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;4;1;0;0;3;238
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;239
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;240
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;241
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;242
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;243
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;244
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;245
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;4;2;0;0;3;246
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;247
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;248
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;1;1;0;0;3;249
6,08015E+14;2022;10;20221004;4;3;2;2;0;0;0;0;0;0;0;3;250
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;3;2;0;0;3;251
6,08015E+14;2022;10;20221004;0;0;0;0;1;1;0;0;0;0;0;3;252
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;1;0;0;3;253
6,08015E+14;2022;10;20221004;14;6;9;4;0;0;20;0;0;1;1;3;254
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;3;3;0;0;3;255
6,08015E+14;2022;10;20221004;27;4;18;3;2;2;33;2;2;4;2;3;256
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;257
6,08018E+14;2022;10;20221004;13;4;9;2;1;1;18;2;2;1;1;3;258
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;259
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;260
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;261
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;262
6,08015E+14;2022;10;20221004;2;1;1;1;4;2;0;0;0;0;0;3;263
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;264
6,08015E+14;2022;10;20221004;0;0;0;0;5;1;0;0;0;0;0;3;265
6,08015E+14;2022;10;20221004;9;3;6;2;5;3;5;0;0;0;0;3;266
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;267
6,08016E+14;2022;10;20221004;3;0;2;0;2;1;6;0;0;1;1;3;268
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;269
6,08015E+14;2022;10;20221004;9;3;6;2;0;0;0;0;0;0;0;3;270
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;271
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;272
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;2;0;0;3;273
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;274
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;275
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;276
6,08015E+14;2022;10;20221004;3;0;2;0;0;0;3;3;1;1;1;3;277
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;1;1;1;0;0;3;278
6,08015E+14;2022;10;20221004;2;1;1;0;0;0;0;1;1;0;0;3;279
6,08015E+14;2022;10;20221004;1;1;1;0;0;0;2;2;2;0;0;3;280
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;281
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;282
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;283
6,08015E+14;2022;10;20221004;8;3;5;2;2;2;12;1;1;2;1;3;284
6,08015E+14;2022;10;20221004;14;3;9;2;2;1;23;1;1;1;1;3;285
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;286
6,08015E+14;2022;10;20221004;17;3;11;2;17;7;24;0;0;5;2;3;287
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;2;0;0;3;288
6,08015E+14;2022;10;20221004;57;9;38;6;12;6;57;7;3;5;3;3;289
6,08015E+14;2022;10;20221004;30;7;20;4;0;0;39;3;2;7;4;3;290
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;3;3;0;0;3;291
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;292
6,08017E+14;2022;10;20221004;3;1;2;1;0;0;2;2;1;0;0;3;293
6,08015E+14;2022;10;20221004;4;2;3;1;0;0;7;1;1;0;0;3;294
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;2;2;0;0;3;295
6,08015E+14;2022;10;20221004;26;3;17;2;0;0;34;3;2;8;3;3;296
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;297
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;298
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;299
6,08015E+14;2022;10;20221004;6;3;4;2;0;0;5;6;4;0;0;3;300
6,08015E+14;2022;10;20221004;18;6;12;4;0;0;23;1;1;0;0;3;301
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;1;1;0;0;3;302
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;8;6;0;0;3;303
6,08015E+14;2022;10;20221004;6;4;4;2;0;0;0;1;1;0;0;3;304
6,08015E+14;2022;10;20221004;0;0;0;0;0;0;0;0;0;0;0;3;305
