;qoe_challenge_table_for_model_v2.nb_hour_echec_appel_daily;test;msisdn_H;msisdn;coupure;nb_hour_total_coupure;echec;paging_without_response_nb ;nb_hour_paging_without_response;nb_call_est;reiter_call_interval_nb;nb_hour_reiter_call ;call_est_bad_setupduration_nb;nb_hour_call_est_bad_setupduration
141;0;3;142;20221004;0;0;0;0;0;0;0;0;0;0
142;0;3;143;20221004;0;0;0;0;0;0;0;0;0;0
143;0;3;144;20221004;0;0;0;1;1;0;0;0;0;0
144;0;3;145;20221004;0;0;0;0;0;0;0;0;0;0
145;0;3;146;20221004;1;1;1;0;0;1;1;1;0;0
146;0;3;147;20221004;0;0;0;0;0;0;0;0;0;0
147;0;3;148;20221004;0;0;0;0;0;0;0;0;0;0
148;0;3;149;20221004;0;0;0;0;0;0;0;0;0;0
149;0;3;150;20221004;0;0;0;0;0;0;1;1;0;0
150;0;3;151;20221004;0;0;0;0;0;0;0;0;0;0
151;0;3;152;20221004;0;0;0;1;1;0;0;0;0;0
152;0;3;153;20221004;0;0;0;0;0;0;0;0;0;0
153;0;3;154;20221004;0;0;0;0;0;0;0;0;0;0
154;0;3;155;20221004;1;0;1;6;5;2;4;3;0;0
155;2;3;156;20221004;3;3;2;6;4;0;0;0;0;0
156;0;3;157;20221004;0;0;0;0;0;0;1;1;0;0
157;0;3;158;20221004;0;0;0;0;0;0;0;0;0;0
158;6;3;159;20221004;21;9;14;7;3;12;1;1;0;0
159;0;3;160;20221004;0;0;0;0;0;0;0;0;0;0
160;0;3;161;20221004;0;0;0;0;0;0;0;0;0;0
161;3;3;162;20221004;13;4;9;0;0;18;0;0;2;2
162;0;3;163;20221004;0;0;0;0;0;0;1;1;0;0
163;1;3;164;20221004;1;1;1;0;0;3;0;0;0;0
164;2;3;165;20221004;5;3;3;3;3;7;1;1;0;0
165;0;3;166;20221004;0;0;0;0;0;0;0;0;0;0
166;0;3;167;20221004;0;0;0;0;0;0;0;0;0;0
167;0;3;168;20221004;0;0;0;0;0;0;1;1;0;0
168;0;3;169;20221004;0;0;0;0;0;0;4;3;0;0
169;0;3;170;20221004;0;0;0;0;0;0;5;5;0;0
170;0;3;171;20221004;3;0;2;0;0;0;4;2;0;0
171;0;3;172;20221004;0;0;0;0;0;0;1;1;0;0
172;2;3;173;20221004;7;3;5;2;2;9;1;1;0;0
173;2;3;174;20221004;3;3;2;0;0;1;1;1;0;0
174;0;3;175;20221004;1;1;0;1;1;1;0;0;0;0
175;0;3;176;20221004;0;0;0;0;0;0;0;0;0;0
176;0;3;177;20221004;0;0;0;0;0;0;1;1;0;0
177;0;3;178;20221004;0;0;0;0;0;0;0;0;0;0
178;0;3;179;20221004;0;0;0;0;0;0;1;1;0;0
179;0;3;180;20221004;0;0;0;0;0;0;0;0;0;0
180;0;3;181;20221004;0;0;0;0;0;0;0;0;0;0
181;1;3;182;20221004;4;2;2;6;3;0;0;0;0;0
182;0;3;183;20221004;0;0;0;0;0;0;0;0;0;0
183;0;3;184;20221004;0;0;0;0;0;0;1;1;0;0
184;0;3;185;20221004;0;0;0;0;0;0;0;0;0;0
185;0;3;186;20221004;0;0;0;0;0;0;0;0;0;0
186;1;3;187;20221004;6;1;4;16;2;0;2;1;0;0
187;0;3;188;20221004;0;0;0;0;0;0;0;0;0;0
188;0;3;189;20221004;0;0;0;4;2;0;0;0;0;0
189;0;3;190;20221004;4;1;3;0;0;3;1;1;0;0
190;0;3;191;20221004;0;0;0;0;0;0;0;0;0;0
191;0;3;192;20221004;0;0;0;0;0;0;0;0;0;0
192;0;3;193;20221004;0;0;0;0;0;0;0;0;0;0
193;0;3;194;20221004;0;0;0;0;0;0;0;0;0;0
194;0;3;195;20221004;1;1;1;0;0;1;1;1;0;0
195;0;3;196;20221004;0;0;0;0;0;0;0;0;0;0
196;0;3;197;20221004;0;0;0;0;0;0;0;0;0;0
197;0;3;198;20221004;0;0;0;0;0;0;0;0;0;0
198;0;3;199;20221004;0;0;0;0;0;0;0;0;0;0
199;0;3;200;20221004;6;1;4;0;0;0;0;0;0;0
200;1;3;201;20221004;4;1;2;4;4;0;0;0;0;0
201;4;3;202;20221004;27;7;18;4;3;30;3;3;1;1
202;4;3;203;20221004;34;6;22;0;0;40;0;0;4;3
203;0;3;204;20221004;0;0;0;0;0;0;0;0;0;0
204;2;3;205;20221004;4;3;3;2;2;3;0;0;1;1
205;0;3;206;20221004;0;0;0;0;0;0;0;0;0;0
206;0;3;207;20221004;0;0;0;0;0;1;2;2;1;1
207;2;3;208;20221004;13;4;9;0;0;10;2;2;0;0
208;2;3;209;20221004;6;3;4;3;2;10;0;0;2;1
209;4;3;210;20221004;41;6;27;4;3;44;5;5;7;3
210;0;3;211;20221004;0;0;0;0;0;0;2;1;0;0
211;3;3;212;20221004;16;4;10;1;1;22;0;0;5;3
212;4;3;213;20221004;14;6;9;2;2;16;0;0;1;1
213;1;3;214;20221004;6;2;4;0;0;9;0;0;6;3
214;4;3;215;20221004;24;6;16;1;1;8;2;2;4;4
215;0;3;216;20221004;0;0;0;0;0;0;0;0;0;0
216;3;3;217;20221004;20;5;13;14;6;27;0;0;5;3
217;0;3;218;20221004;0;0;0;0;0;0;0;0;0;0
218;0;3;219;20221004;1;1;1;0;0;3;3;2;0;0
219;1;3;220;20221004;4;1;3;0;0;8;0;0;2;2
220;0;3;221;20221004;0;0;0;1;1;1;0;0;0;0
221;0;3;222;20221004;0;0;0;0;0;0;0;0;0;0
222;3;3;223;20221004;15;5;10;0;0;12;2;1;0;0
223;0;3;224;20221004;0;0;0;0;0;0;0;0;0;0
224;1;3;225;20221004;4;2;3;0;0;5;0;0;2;1
225;0;3;226;20221004;0;0;0;0;0;0;0;0;0;0
226;1;3;227;20221004;3;2;2;0;0;0;0;0;0;0
227;0;3;228;20221004;0;0;0;1;1;0;0;0;0;0
228;2;3;229;20221004;19;3;12;1;1;22;0;0;1;1
229;0;3;230;20221004;0;0;0;0;0;0;1;1;0;0
230;3;3;231;20221004;12;5;8;2;2;13;0;0;1;1
231;2;3;232;20221004;9;4;6;0;0;13;0;0;1;1
232;1;3;233;20221004;2;1;1;1;1;3;1;1;0;0
233;0;3;234;20221004;0;0;0;0;0;0;0;0;0;0
234;0;3;235;20221004;0;0;0;1;1;0;0;0;0;0
235;0;3;236;20221004;0;0;0;0;0;0;0;0;0;0
236;0;3;237;20221004;0;0;0;0;0;0;2;1;0;0
237;0;3;238;20221004;0;0;0;0;0;0;4;1;0;0
238;0;3;239;20221004;0;0;0;0;0;0;0;0;0;0
239;0;3;240;20221004;0;0;0;0;0;0;0;0;0;0
240;0;3;241;20221004;0;0;0;0;0;0;1;1;0;0
241;0;3;242;20221004;0;0;0;0;0;0;0;0;0;0
242;0;3;243;20221004;0;0;0;0;0;0;0;0;0;0
243;0;3;244;20221004;0;0;0;0;0;0;0;0;0;0
244;0;3;245;20221004;0;0;0;0;0;0;0;0;0;0
245;0;3;246;20221004;0;0;0;0;0;0;4;2;0;0
246;0;3;247;20221004;0;0;0;0;0;0;1;1;0;0
247;0;3;248;20221004;0;0;0;0;0;0;1;1;0;0
248;0;3;249;20221004;0;0;0;1;1;0;1;1;0;0
249;2;3;250;20221004;4;3;2;0;0;0;0;0;0;0
250;0;3;251;20221004;0;0;0;0;0;0;3;2;0;0
251;0;3;252;20221004;0;0;0;1;1;0;0;0;0;0
252;0;3;253;20221004;0;0;0;0;0;0;2;1;0;0
253;4;3;254;20221004;14;6;9;0;0;20;0;0;1;1
254;0;3;255;20221004;0;0;0;0;0;0;3;3;0;0
255;3;3;256;20221004;27;4;18;2;2;33;2;2;4;2
256;0;3;257;20221004;0;0;0;0;0;0;0;0;0;0
257;2;3;258;20221004;13;4;9;1;1;18;2;2;1;1
258;0;3;259;20221004;0;0;0;0;0;0;0;0;0;0
259;0;3;260;20221004;0;0;0;0;0;0;0;0;0;0
260;0;3;261;20221004;0;0;0;0;0;0;0;0;0;0
261;0;3;262;20221004;0;0;0;0;0;0;0;0;0;0
262;1;3;263;20221004;2;1;1;4;2;0;0;0;0;0
263;0;3;264;20221004;0;0;0;0;0;0;1;1;0;0
264;0;3;265;20221004;0;0;0;5;1;0;0;0;0;0
265;2;3;266;20221004;9;3;6;5;3;5;0;0;0;0
266;0;3;267;20221004;0;0;0;0;0;0;0;0;0;0
267;0;3;268;20221004;3;0;2;2;1;6;0;0;1;1
268;0;3;269;20221004;0;0;0;0;0;0;0;0;0;0
269;2;3;270;20221004;9;3;6;0;0;0;0;0;0;0
270;0;3;271;20221004;0;0;0;0;0;0;0;0;0;0
271;0;3;272;20221004;0;0;0;0;0;0;0;0;0;0
272;0;3;273;20221004;0;0;0;0;0;0;2;2;0;0
273;0;3;274;20221004;0;0;0;0;0;0;0;0;0;0
274;0;3;275;20221004;0;0;0;0;0;0;1;1;0;0
275;0;3;276;20221004;0;0;0;0;0;0;0;0;0;0
276;0;3;277;20221004;3;0;2;0;0;3;3;1;1;1
277;0;3;278;20221004;0;0;0;0;0;1;1;1;0;0
278;0;3;279;20221004;2;1;1;0;0;0;1;1;0;0
279;0;3;280;20221004;1;1;1;0;0;2;2;2;0;0
280;0;3;281;20221004;0;0;0;0;0;0;0;0;0;0
281;0;3;282;20221004;0;0;0;0;0;0;0;0;0;0
282;0;3;283;20221004;0;0;0;0;0;0;0;0;0;0
283;2;3;284;20221004;8;3;5;2;2;12;1;1;2;1
284;2;3;285;20221004;14;3;9;2;1;23;1;1;1;1
285;0;3;286;20221004;0;0;0;0;0;0;0;0;0;0
286;2;3;287;20221004;17;3;11;17;7;24;0;0;5;2
287;0;3;288;20221004;0;0;0;0;0;0;2;2;0;0
288;6;3;289;20221004;57;9;38;12;6;57;7;3;5;3
289;4;3;290;20221004;30;7;20;0;0;39;3;2;7;4
290;0;3;291;20221004;0;0;0;0;0;0;3;3;0;0
291;0;3;292;20221004;0;0;0;0;0;0;0;0;0;0
292;1;3;293;20221004;3;1;2;0;0;2;2;1;0;0
293;1;3;294;20221004;4;2;3;0;0;7;1;1;0;0
294;0;3;295;20221004;0;0;0;0;0;0;2;2;0;0
295;2;3;296;20221004;26;3;17;0;0;34;3;2;8;3
296;0;3;297;20221004;0;0;0;0;0;0;0;0;0;0
297;0;3;298;20221004;0;0;0;0;0;0;0;0;0;0
298;0;3;299;20221004;0;0;0;0;0;0;0;0;0;0
299;2;3;300;20221004;6;3;4;0;0;5;6;4;0;0
300;4;3;301;20221004;18;6;12;0;0;23;1;1;0;0
301;0;3;302;20221004;0;0;0;0;0;0;1;1;0;0
302;0;3;303;20221004;0;0;0;0;0;0;8;6;0;0
303;2;3;304;20221004;6;4;4;0;0;0;1;1;0;0
304;0;3;305;20221004;0;0;0;0;0;0;0;0;0;0
305;0;3;306;20221004;0;0;0;0;0;0;8;3;0;0
306;0;3;307;20221004;1;1;0;0;0;2;0;0;0;0
307;1;3;308;20221004;2;2;1;0;0;0;0;0;0;0
308;0;3;309;20221004;0;0;0;0;0;0;1;1;0;0
309;0;3;310;20221004;0;0;0;0;0;0;0;0;0;0
310;0;3;311;20221004;1;1;1;1;1;0;0;0;0;0
311;0;3;312;20221004;0;0;0;0;0;0;0;0;0;0
312;0;3;313;20221004;0;0;0;0;0;0;1;1;0;0
313;1;3;314;20221004;3;1;2;0;0;1;1;1;0;0
314;0;3;315;20221004;1;0;0;0;0;2;0;0;1;1
315;0;3;316;20221004;0;0;0;0;0;0;0;0;0;0
316;0;3;317;20221004;0;0;0;0;0;0;0;0;0;0
317;0;3;318;20221004;0;0;0;0;0;0;1;1;0;0
318;0;3;319;20221004;0;0;0;0;0;0;0;0;0;0
319;0;3;320;20221004;0;0;0;0;0;1;0;0;1;1
320;0;3;321;20221004;0;0;0;0;0;0;0;0;0;0
321;0;3;322;20221004;0;0;0;0;0;0;0;0;0;0
322;0;3;323;20221004;0;0;0;0;0;0;0;0;0;0
323;0;3;324;20221004;0;0;0;0;0;0;0;0;0;0
324;3;3;325;20221004;60;5;40;12;6;89;10;2;16;8
325;1;3;326;20221004;3;2;2;4;2;3;0;0;0;0
326;2;3;327;20221004;6;3;4;3;2;4;3;2;0;0
327;0;3;328;20221004;1;0;1;0;0;2;0;0;0;0
328;0;3;329;20221004;0;0;0;0;0;0;0;0;0;0
329;1;3;330;20221004;1;1;1;0;0;0;0;0;0;0
330;0;3;331;20221004;0;0;0;0;0;0;0;0;0;0
331;0;3;332;20221004;0;0;0;0;0;0;1;1;0;0
332;2;3;333;20221004;5;3;3;3;3;6;2;2;0;0
333;0;3;334;20221004;0;0;0;7;4;0;0;0;0;0
334;0;3;335;20221004;1;0;0;0;0;2;1;1;1;1
335;0;3;336;20221004;0;0;0;0;0;0;2;2;0;0
336;0;3;337;20221004;0;0;0;4;1;0;0;0;0;0
337;0;3;338;20221004;0;0;0;0;0;0;0;0;0;0
338;0;3;339;20221004;0;0;0;0;0;0;1;1;0;0
339;0;3;340;20221004;0;0;0;0;0;0;0;0;0;0
340;0;3;341;20221004;0;0;0;0;0;0;0;0;0;0
341;0;3;342;20221004;0;0;0;4;2;0;0;0;0;0
342;0;3;343;20221004;1;1;0;0;0;0;0;0;0;0
343;0;3;344;20221004;0;0;0;0;0;0;0;0;0;0
344;0;3;345;20221004;0;0;0;0;0;0;1;1;0;0
345;3;3;346;20221004;18;5;12;1;1;17;1;1;0;0
346;0;3;347;20221004;0;0;0;0;0;0;2;1;0;0
347;0;3;348;20221004;0;0;0;0;0;0;0;0;0;0
348;0;3;349;20221004;0;0;0;0;0;0;0;0;0;0
349;0;3;350;20221004;0;0;0;0;0;0;3;2;0;0
350;0;3;351;20221004;0;0;0;0;0;0;2;2;0;0
351;0;3;352;20221004;1;1;0;0;0;4;0;0;0;0
352;0;3;353;20221004;0;0;0;0;0;0;0;0;0;0
353;1;3;354;20221004;4;2;2;1;1;1;0;0;0;0
354;0;3;355;20221004;0;0;0;1;1;0;0;0;0;0
355;0;3;356;20221004;1;1;0;0;0;0;0;0;0;0
356;0;3;357;20221004;0;0;0;0;0;0;0;0;0;0
357;0;3;358;20221004;1;1;1;0;0;0;0;0;0;0
358;1;3;359;20221004;3;1;2;0;0;0;0;0;0;0
359;0;3;360;20221004;1;1;1;0;0;0;0;0;0;0
360;4;3;361;20221004;13;6;9;2;1;0;0;0;0;0
361;1;3;362;20221004;3;1;2;3;2;4;0;0;0;0
362;1;3;363;20221004;6;2;4;0;0;8;0;0;0;0
363;0;3;364;20221004;0;0;0;0;0;0;0;0;0;0
364;0;3;365;20221004;1;1;1;5;1;0;0;0;0;0
365;0;3;366;20221004;0;0;0;0;0;0;0;0;0;0
366;2;3;367;20221004;3;3;2;0;0;1;0;0;0;0
367;2;3;368;20221004;12;4;8;3;1;16;0;0;4;3
368;0;3;369;20221004;0;0;0;0;0;0;0;0;0;0
369;0;3;370;20221004;0;0;0;0;0;0;0;0;0;0
370;0;3;371;20221004;0;0;0;4;1;0;0;0;0;0
371;0;3;372;20221004;0;0;0;0;0;0;2;2;0;0
372;0;3;373;20221004;0;0;0;0;0;0;0;0;0;0
373;0;3;374;20221004;9;1;6;0;0;12;0;0;0;0
374;0;3;375;20221004;0;0;0;0;0;0;0;0;0;0
375;0;3;376;20221004;0;0;0;0;0;0;1;1;0;0
376;0;3;377;20221004;0;0;0;0;0;0;0;0;0;0
377;0;3;378;20221004;0;0;0;0;0;0;0;0;0;0
378;2;3;379;20221004;9;3;6;1;1;11;0;0;0;0
379;0;3;380;20221004;0;0;0;2;2;0;0;0;0;0
380;0;3;381;20221004;0;0;0;0;0;0;0;0;0;0
381;4;3;382;20221004;16;6;11;1;1;15;2;2;1;1
382;0;3;383;20221004;0;0;0;0;0;0;0;0;0;0
383;0;3;384;20221004;0;0;0;0;0;0;1;1;0;0
384;1;3;385;20221004;1;1;1;0;0;1;1;1;0;0
385;0;3;386;20221004;0;0;0;0;0;0;0;0;0;0
386;0;3;387;20221004;0;0;0;0;0;0;0;0;0;0
387;0;3;388;20221004;1;1;1;0;0;3;0;0;2;1
388;0;3;389;20221004;0;0;0;0;0;0;0;0;0;0
389;0;3;390;20221004;4;1;2;0;0;4;19;5;0;0
390;0;3;391;20221004;0;0;0;0;0;0;0;0;0;0
391;0;3;392;20221004;0;0;0;0;0;0;1;1;0;0
392;0;3;393;20221004;0;0;0;1;1;0;0;0;0;0
393;0;3;394;20221004;0;0;0;0;0;0;0;0;0;0
394;0;3;395;20221004;0;0;0;0;0;0;0;0;0;0
395;0;3;396;20221004;1;1;0;0;0;0;0;0;0;0
396;0;3;397;20221004;1;1;0;0;0;0;0;0;0;0
397;0;3;398;20221004;0;0;0;0;0;0;0;0;0;0
398;0;3;399;20221004;0;0;0;0;0;0;0;0;0;0
399;0;3;400;20221004;0;0;0;0;0;0;0;0;0;0
400;0;3;401;20221004;0;0;0;0;0;0;0;0;0;0
401;1;3;402;20221004;15;2;10;4;3;22;0;0;0;0
402;0;3;403;20221004;0;0;0;3;1;0;0;0;0;0
403;0;3;404;20221004;0;0;0;0;0;0;0;0;0;0
404;0;3;405;20221004;0;0;0;0;0;0;0;0;0;0
405;1;3;406;20221004;1;1;1;0;0;1;0;0;0;0
406;1;3;407;20221004;4;2;2;2;1;0;2;1;0;0
407;0;3;408;20221004;0;0;0;0;0;0;2;2;0;0
408;3;3;409;20221004;21;5;14;4;2;21;3;2;2;2
409;0;3;410;20221004;0;0;0;0;0;0;0;0;0;0
410;5;3;411;20221004;58;8;38;1;1;73;6;4;7;4
411;2;3;412;20221004;6;3;4;0;0;9;0;0;0;0
412;4;3;413;20221004;9;6;6;0;0;8;0;0;0;0
413;0;3;414;20221004;0;0;0;0;0;0;0;0;0;0
414;3;3;415;20221004;12;4;8;2;2;12;0;0;2;2
415;0;3;416;20221004;0;0;0;0;0;0;0;0;0;0
416;4;3;417;20221004;12;6;8;8;3;9;2;2;2;1
417;0;3;418;20221004;0;0;0;0;0;0;0;0;0;0
418;0;3;419;20221004;1;1;0;1;1;0;0;0;0;0
419;2;3;420;20221004;19;3;13;4;2;21;0;0;7;3
420;0;3;421;20221004;0;0;0;0;0;0;0;0;0;0
421;0;3;422;20221004;0;0;0;0;0;0;2;1;0;0
422;0;3;423;20221004;3;1;2;23;4;4;3;3;4;2
423;1;3;424;20221004;4;2;2;0;0;6;11;4;0;0
424;0;3;425;20221004;0;0;0;0;0;0;0;0;0;0
425;4;3;426;20221004;15;6;10;7;4;13;1;1;2;2
426;1;3;427;20221004;2;1;1;0;0;0;1;1;0;0
